"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05213","Endometrial cancer - Mus musculus (house mouse)","36/4686","58/9787",0.0206190609884525,0.0384213103664607,0.0163671579891081,"23797/18706/13645/18710/12371/12028/15461/12443/12550/26395/17350/12387/56484/216033/23805/17873/26396/13649/21414/22059/13866/12006/20663/11651/18708/56637/18607/12005/12575/11789/12385/12015/19211/21416/11836/13712",36
"mmu04911","Insulin secretion - Mus musculus (house mouse)","51/4686","86/9787",0.0215507068859658,0.0399390817832301,0.0170137159626046,"12912/12292/11931/56508/26427/18795/18798/14683/20526/140493/11928/108058/18749/12913/20907/208647/231991/11517/12288/18752/68667/16514/20927/19339/84036/18747/11513/11936/208677/14672/103988/12323/22318/11932/18750/104111/12671/20191/12325/12289/104110/11514/11911/11512/11515/224129/16440/12915/140492/12322/14682",51
"mmu05134","Legionellosis - Mus musculus (house mouse)","37/4686","60/9787",0.0218128246191551,0.0402063415953074,0.0171275664150407,"15510/12747/12370/53791/13628/24088/20333/269523/21898/12371/14825/20310/13063/94044/66824/12176/12367/16173/13627/17874/56422/11783/19324/12750/66397/11840/11841/18035/17948/17940/15499/15511/193740/12266/19697/67160/12369",37
"mmu04670","Leukocyte transendothelial migration - Mus musculus (house mouse)","68/4686","119/9787",0.0260073160101885,0.0476800793520123,0.0203113164086362,"12767/16456/22325/56508/12388/98932/18706/14679/57257/18710/12540/64945/19247/17906/12739/60363/11461/20315/18752/232906/22323/60595/16408/17390/12562/12927/234779/13057/16412/15894/83964/69524/21838/14678/12387/216033/215449/17898/53624/18613/18750/11465/19878/18260/18708/22330/19229/58187/19354/29857/19094/223864/12741/12737/67374/54420/56173/22350/54419/26416/67938/19877/12385/20469/13058/171486/17698/12738",68
"mmu05207","Chemical carcinogenesis - receptor activation - Mus musculus (house mouse)","124/4686","228/9787",0.027291093110603,0.0497661109663937,0.0211999484900828,"74229/14859/12912/12043/56489/12292/66447/20183/12355/23797/13849/20181/26427/54485/16449/13555/14683/11438/18706/16649/11444/11863/18129/14866/68312/14867/14864/14862/14865/14679/13645/18749/12913/16600/16476/18710/16650/20111/71904/56717/100727/71773/243085/231396/22238/112417/72094/100559/13113/13112/56388/100041449/208647/231991/12288/14177/56615/18752/13088/13094/109689/15461/12443/11556/18747/12286/11513/13077/26395/14858/14678/13982/14871/14872/67112/208677/26396/22027/56351/13649/14172/216869/16211/20850/20848/16647/18750/11799/104111/11622/20663/14281/15519/11651/18708/14165/12289/104110/14180/16648/13850/19645/11514/11911/19013/11512/11515/12053/224129/16646/20112/13388/71932/12915/22339/13078/58988/19697/12015/16452/11554/11798/80903/110651",124
"mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Mus musculus (house mouse)","20/4686","30/9787",0.0296022578792504,0.0534921924811727,0.0227872281599069,"241062/67556/13481/78928/329777/56703/67063/433931/233575/327942/276846/320655/14756/14731/239827/72084/56176/18701/225651/18700",20
"mmu04917","Prolactin signaling pathway - Mus musculus (house mouse)","44/4686","74/9787",0.0296481653341397,0.0534921924811727,0.0227872281599069,"20846/23797/13711/271849/20526/18706/20416/18710/26414/12444/15461/12443/26395/12700/13982/56484/216148/26396/216233/103988/26420/16362/192157/20850/20848/12702/20663/14281/11651/20418/18708/26419/67296/19116/29857/19094/12703/56637/26416/56468/54607/19697/16452/13074",44
"mmu04929","GnRH secretion - Mus musculus (house mouse)","38/4686","63/9787",0.031608093502833,0.0567282099182424,0.0241657446171244,"12292/23797/16519/18795/18798/18706/22066/15168/140493/242425/18710/20750/16438/12288/16439/18752/16514/109689/15461/84036/16521/26395/22063/15166/26396/14672/216869/12291/18750/11651/18708/15165/12289/58226/16440/54393/140492/14682",38
"mmu05219","Bladder cancer - Mus musculus (house mouse)","26/4686","41/9787",0.0327125541091304,0.0582905823558579,0.0248313022537687,"21825/13555/13645/14184/15461/12443/17390/12550/26395/13143/26396/13144/17246/12567/13649/22059/13866/73086/13557/69635/19645/72962/12575/22339/15200/11836",26
"mmu00052","Galactose metabolism - Mus musculus (house mouse)","21/4686","32/9787",0.0328205038484596,0.0582905823558579,0.0248313022537687,"14378/14595/72157/53418/74246/67861/232714/15277/15275/216019/18641/103988/14377/68401/14635/14387/56421/212032/18642/319625/11605",21
"mmu04720","Long-term potentiation - Mus musculus (house mouse)","40/4686","67/9787",0.0342129240049121,0.0604487413765546,0.0257506600091512,"18795/18798/108058/19055/18749/20111/19046/19047/16438/12288/16439/18752/12315/14814/15461/18747/26395/14816/26396/215449/12323/19058/18750/14813/12313/19056/12325/19057/11514/11911/328572/223864/58200/20112/16440/12314/12322/14682/11836/110651",40
"mmu00030","Pentose phosphate pathway - Mus musculus (house mouse)","22/4686","34/9787",0.0359459780858885,0.0631833944705566,0.0269155994349029,"66646/230163/72157/110208/100198/19895/232449/14751/11674/21351/66171/18641/74637/11676/56421/75731/14120/14121/21881/18642/19733/19139",22
