"","Genename","Heart_ZT0_1","Heart_ZT0_2","Heart_ZT12_1","Heart_ZT12_2","Liver_ZT0_1","Liver_ZT0_2","Liver_ZT12_1","Liver_ZT12_2"
"ENSMUSG00000032295.16","Man2c1",795,677,867,328,448,548,323,270
"ENSMUSG00000032298.14","Neil1",163,94,162,68,157,164,60,56
"ENSMUSG00000032299.11","Commd4",383,259,415,125,325,424,320,213
"ENSMUSG00000070298.7","Trcg1",8,12,12,5,0,1,0,0
"ENSMUSG00000032300.8","1700017B05Rik",348,300,235,86,506,636,112,53
"ENSMUSG00000063849.7","Ppcdc",270,221,300,101,289,350,142,135
"ENSMUSG00000040722.8","Scamp5",303,230,362,157,365,374,355,211
"ENSMUSG00000062309.9","Rpp25",32,27,60,12,0,1,0,0
"ENSMUSG00000000088.8","Cox5a",11436,8159,11681,3792,1948,2062,822,908
"ENSMUSG00000032305.16","Fam219b",719,497,631,246,186,188,127,145
"ENSMUSG00000032306.15","Mpi",2337,1892,2249,964,291,416,141,145
"ENSMUSG00000040188.11","Scamp2",825,633,823,313,723,829,350,209
"ENSMUSG00000032308.10","Ulk3",310,197,354,113,172,228,100,110
"ENSMUSG00000056271.14","Lman1l",27,25,19,8,1,0,0,0
"ENSMUSG00000032312.8","Csk",728,562,577,212,1326,1748,890,637
"ENSMUSG00000032310.5","Cyp1a2",0,0,0,0,7878,11963,7326,4524
"ENSMUSG00000032315.7","Cyp1a1",1,0,0,0,2,5,20,7
"ENSMUSG00000038957.14","Edc3",267,228,237,127,268,305,297,242
"ENSMUSG00000032316.9","Clk3",738,559,912,322,580,739,277,246
"ENSMUSG00000004661.16","Arid3b",3,1,3,0,0,0,0,0
